category	cell_type	cell_type_clean	file_num	mark	cell_type_clean2
Other	BI.Adipose_Nuclei_peaks.bed	Adipose_nuclei	1	H3K4me1	Adipose nuclei
Kidney	BI.Adult_Kidney_peaks.bed	Kidney	2	H3K4me1	Kidney
Liver	BI.Adult_Liver_peaks.bed	Liver_(BI)	3	H3K4me1	Liver
CNS	BI.Brain_Angular_Gyrus_peaks.bed	Angular_gyrus	4	H3K4me1	Angular gyrus
CNS	BI.Brain_Anterior_Caudate_peaks.bed	Anterior_caudate	5	H3K4me1	Anterior caudate
CNS	BI.Brain_Cingulate_Gyrus_peaks.bed	Cingulate_gyrus	6	H3K4me1	Cingulate gyrus
CNS	BI.Brain_Hippocampus_Middle_peaks.bed	Hippocampus_middle	7	H3K4me1	Hippocampus middle
CNS	BI.Brain_Inferior_Temporal_Lobe_peaks.bed	Inferior_temporal_lobe	8	H3K4me1	Inferior temporal lobe
CNS	BI.Brain_Mid_Frontal_Lobe_peaks.bed	Mid_frontal_lobe	9	H3K4me1	Mid frontal lobe
CNS	BI.Brain_Substantia_Nigra_peaks.bed	Substantia_nigra	10	H3K4me1	Substantia nigra
Hematopoietic	BI.CD15_Primary_Cells_peaks.bed	CD15_primary	11	H3K4me1	CD15
Hematopoietic	BI.CD19_Primary_Cells_peaks.bed	CD19_primary_(BI)	12	H3K4me1	CD19
Hematopoietic	BI.CD34_Primary_Cells_peaks.bed	CD34_primary	13	H3K4me1	CD34
Hematopoietic	BI.CD3_Primary_Cells_peaks.bed	CD3_primary_(BI)	14	H3K4me1	CD3
Hematopoietic	BI.CD4+_CD25+_CD127-_Treg_Primary_Cells_peaks.bed	CD4+_CD25+_CD127-_Treg_primary	15	H3K4me1	CD4+CD25+CD127-
Hematopoietic	BI.CD4+_CD25-_CD45RA+_Naive_Primary_Cells_peaks.bed	CD4+_CD25-_CD45RA+_naive_primary	16	H3K4me1	CD4+CD25-CD45RA+ naive
Hematopoietic	BI.CD4+_CD25-_CD45RO+_Memory_Primary_Cells_peaks.bed	CD4+_CD25-_CD45R0+_memory_primary	17	H3K4me1	CD4+CD25-CD45RO+ memory
Hematopoietic	BI.CD4+_CD25-_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells_peaks.bed	CD4+_CD25-_IL17+_PMA_Ionomycin_stim_Th17_primary	18	H3K4me1	CD4+CD25-IL17+ stim Th17
Hematopoietic	BI.CD4+_CD25-_IL17-_PMA-Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_peaks.bed	CD4+_CD25-_IL17-_PMA_Ionomycin_stim_MACS_Th_sprimary	19	H3K4me1	CD4+CD25-IL17- stim Th
Hematopoietic	BI.CD4+_CD25int_CD127+_Tmem_Primary_Cells_peaks.bed	CD4+_CD25int_CD127+_Tmem_primary	20	H3K4me1	CD4+CD25intCD127+ Tmem
Hematopoietic	BI.CD4+_CD25-_Th_Primary_Cells_peaks.bed	CD4+_CD25-_Th_primary	21	H3K4me1	CD4+CD25- Th
Hematopoietic	BI.CD4_Memory_Primary_Cells_peaks.bed	CD4_memory_primary	22	H3K4me1	CD4 memory
Hematopoietic	BI.CD4_Naive_Primary_Cells_peaks.bed	CD4_naive_primary	23	H3K4me1	CD4 naive
Hematopoietic	BI.CD8_Memory_Primary_Cells_peaks.bed	CD8_memory_primary	24	H3K4me1	CD8 memory
Hematopoietic	BI.CD8_Naive_Primary_Cells_peaks.bed	CD8_naive_primary_(BI)	25	H3K4me1	CD8 naive
GI	BI.Colonic_Mucosa_peaks.bed	Colonic_mucosa	26	H3K4me1	Colonic mucosa
GI	BI.Colon_Smooth_Muscle_peaks.bed	Colon_smooth_muscle	27	H3K4me1	Colon smooth muscle
GI	BI.Duodenum_Mucosa_peaks.bed	Duodenum_Mucosa	28	H3K4me1	Duodenum Mucosa
GI	BI.Duodenum_Smooth_Muscle_peaks.bed	Duodenum_smooth_muscle	29	H3K4me1	Duodenum smooth muscle
CNS	BI.Fetal_Brain_peaks.bed	Fetal_brain	30	H3K4me1	Fetal brain
Cardiovascular	BI.Fetal_Heart_peaks.bed	Fetal_heart	31	H3K4me1	Fetal heart
